keys,en,sw,kam,kik,miji,luo,bor
exit_invalid_guardian_removal,"CON %{error_exit}
0. Back
9. Exit","CON %{error_exit}
0. Rudi
9. Ondoka","CON %{error_exit}
0. Itina
9. Uma","CON %{error_exit}
0. Thutha
9. Uma","CON %{error_exit}
0. Uya nyuma
9. Ombola","CON %{error_exit}
0. Chien
9. Wuok","CON %{error_exit}. 
0.Dheebi
9.Bai"
transaction_pin_authorization.first,"CON %{recipient_information} will receive %{transaction_amount} %{token_symbol} from %{sender_information}.
Please enter your PIN to confirm.
0. Back","CON %{recipient_information} atapokea %{transaction_amount} %{token_symbol} kutoka kwa %{sender_information}
Tafadhali weka PIN yako kudhibitisha
0. Rudi","CON %{recipient_information} nukwata %{transaction_amount} %{token_symbol} kuma kwa %{sender_information}
Ikia PIN yaku kuvitukithya
0. Itina","CON %{recipient_information} akuamukira %{transaction_amount} %{token_symbol} kuuma kwa %{sender_information}
Ekera PIN yaku kuetekeria
0. Thutha","CON %{recipient_information} yundahokera %{transaction_amount} %{token_symbol} kulaa kwa %{sender_information}.
ika PIN kala usawa
0. Uya nyuma.","CON %{recipient_information} dhiyudo %{transaction_amount} %{token_symbol} kowuok kuom %{sender_information}.
Kiyie to ket PIN mondo iyie:
0. Chien","CON %{recipient_information} in argad%{transaction_amount} %{token_symbol} ir %{sender_information}.
PIN kekhai:
0. Dheebi"
transaction_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
display_metadata_pin_authorization.first,"CON Please enter your PIN
0. Back","CON Tafadhali weka PIN yako
0. Rudi","CON Tafathali ikia PIN yaku
0. Itina","CON Ikera PIN yaku
0. Thutha","CON Unavoywa kuika piniyo.
0. Uya Nyuma","CON Kiyie to ket PIN ni
0. Chien","CON Pin kekhai
0. Dheebi"
display_metadata_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
account_balances_pin_authorization.first,"CON Please enter your PIN to view balances
0. Back","CON Tafadhali weka PIN yako kuona salio.
0. Rudi","CON Kuisya mbalansi ikia PIN yaku .
0. Itina","CON Ikera pin yaku kuona matigari maku
0. Thutha","CON Unavoywa piniyo kulola Sazoro.
0. Uya nyuma","CON  Kiyie to ket PIN mondo ine modong'
0. Chien","CON Pinkekhai  ak balansi kake lalt
0. Dheebi"
account_balances_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
account_statement_pin_authorization.first,"CON Please enter your PIN to view statement
0. Back","CON Tafadhali weka PIN yako kuona taarifa ya matumizi.
0. Rudi","CON Ikia PIN yaku kwona welesyo wa utumii.
0. Itina","CON Ikera PIN yaku kuona rugano rwa mahuthira maku
0. Thutha","CON Unavoywa piniyo kupata maerezo mahumizi Gako.
0. Uya Nyuma","CON Kiyie to ket PIN mondo ine chenro.
0. Chien","CON Tafadhali pin kake kekhai odhuu jalkaba lalaad.
0. Dheebi"
account_statement_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
name_edit_pin_authorization.first,"CON Please enter your PIN
0. Back","CON Tafadhali weka PIN yako
0. Rudi","CON Tafathali ikia PIN yaku
0. Itina","CON Ikera pin yaku
0. Thutha","CON Unavoywa piniyo
0. Uya Nyuma","CON Ket PIN
0. Chien","CON Pin kekhai
0. Dheebi"
name_edit_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
dob_edit_pin_authorization.first,"CON Please enter your PIN
0. Back","CON Tafadhali weka PIN yako
0. Rudi","CON Tafathali ikia PIN yaku
0. Itina","CON Ikera PIN yaku
0. Thutha","CON Unavoywa piniyo
0. Uya nyuma","CON Kiyie to ket PIN
0. Chien","CON pin kekhai
0. Dheebi"
dob_edit_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
gender_edit_pin_authorization.first,"CON Please enter your PIN
0. Back","CON Tafadhali weka PIN yako
0. Rudi","CON Tafathali ikia PIN yaku
0. Itina","CON Ikera PIN yaku
0. Thutha",CON Unavoywa piniyo 0. Uya nyuma,"CON Kiyie to ket PIN
0. Chien","CON pin kekhai
0. Dheebi"
gender_edit_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
location_edit_pin_authorization.first,"CON Please enter your PIN
0. Back","CON Tafadhali weka PIN yako
0. Rudi","CON Tafathali ikia PIN yaku
0. Itina","CON Ikera PIN yaku
0. Thutha","CON Unavoywa piniyo
0. Uya nyuma","CON Kiyie to ket PIN
0. Chien","CON Pin kekhai
0. Dheebi"
location_edit_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
products_edit_pin_authorization.first,"CON Please enter your PIN
0. Back","CON Tafadhali weka PIN yako
0. Rudi","CON Tafathali ikia PIN yaku
0. Itina","CON Ikera PIN yaku
0. Thutha","CON Unavoywa piniyo
0. Uya nyuma","CON Kiyie to ket PIN
0. Chien","CON Pin kekhai
0. Dheebi"
products_edit_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
account_balances.available_balance,"CON Your balances are as follows:
  %{available_balance} %{token_symbol}
0. Back","CON Salio zako ni zifuatazo:
  %{available_balance} %{token_symbol}
0. Rudi","CON Mbalansi syaku nisyo ii:
  %{available_balance} %{token_symbol}
0. Itina","CON Matigari maku ni maya:
 matigari: %{available_balance} %{token_symbol}
0. Thutha","CON Masazogo nidzavivyo gatuwiravyo:
 Sazo: %{available_balance} %{token_symbol}
0. Uya Nyuma","CON Dong mari en kama: %{available_balance} %{token_symbol}
0. Dog chien","CON Balansi kake akan
 salio: %{available_balance} %{token_symbol}
0. Dheebi"
account_balances.with_fees,"CON Your balances are as follows:
balances: %{available_balance} %{token_symbol}
fees: %{tax} %{token_symbol}
0. Back","CON Salio zako ni zifuatazo:
  salio: %{available_balance} %{token_symbol}
  ushuru: %{tax} %{token_symbol}
0. Rudi","CON Mbalansi syaku nisyo ii:
 mbalansi: %{available_balance} %{token_symbol}
 yelo: %{tax} %{token_symbol}
0. Itina","CON Matigari maku ni maya:
 matigari: %{available_balance} %{token_symbol}
 ushuru: %{tax} %{token_symbol}
0. Thutha","CON Masazogo ni gatuwirago:
 Masazo: %{available_balance} %{token_symbol}
 Ushuuru: %{tax} %{token_symbol}
0. Uya nyuma","CON Dong mari en:
 Dong: %{available_balance} %{token_symbol}
 osuru: %{tax} %{token_symbol}
0. Chien","CON Balansi kake akan
 salio: %{available_balance} %{token_symbol}
 ushuru: %{tax} %{token_symbol}
0. Dheebi"
account_balances.with_rewards,"CON Your balances are as follows:
balance: %{available_balance} %{token_symbol}
fees: %{tax} %{token_symbol}
rewards: %{bonus} %{token_symbol}
0. Back","CON Salio zako ni zifuatazo:
  salio: %{available_balance} %{token_symbol}
  ushuru: %{tax} %{token_symbol}
  tuzo: %{bonus} %{token_symbol}
0. Rudi","CON  Mbalansi syaku nisyo ii:
 mbalansi: %{available_balance} %{token_symbol}
 yelo: %{tax} %{token_symbol}
 muthinzio: %{bonus} %{token_symbol}
0. Itina","CON Matigari maku ni:
 Matigari: %{available_balance} %{token_symbol}
 ushuru: %{tax} %{token_symbol}
 tuzo: %{bonus} %{token_symbol}
0. Thutha","CON Sazoro ni rituwiraro:
 Sazo: %{available_balance} %{token_symbol}
 Ushuuru: %{tax} %{token_symbol}
 Zawadi: %{bonus} %{token_symbol}
0. Uya Nyuma","CON Dong mari en kama:
 Dong: %{available_balance} %{token_symbol}
 osuru: %{tax} %{token_symbol}
 mich: %{bonus} %{token_symbol}
0. Chien","CON Balansi kake akan
 salio: %{available_balance} %{token_symbol}
 ushuru: %{tax} %{token_symbol}
 tuzo: %{bonus} %{token_symbol}
0. Dheebi"
first_transaction_set,"CON %{first_transaction_set}
0. Back
11. Next
00. Exit","CON %{first_transaction_set}
0. Rudi
11. Mbele
00. Ondoka","CON %{first_transaction_set}
0. Itina
11. Mbee
00. Uma","CON %{first_transaction_set}
0. Thutha
11. Mbere
00. uma","CON %{first_transaction_set}
0. Uma nyuma
11. Mbere
00. Ombola","CON %{first_transaction_set}
0. Chien
11. Nyime
00. Wuok","CON %{first_transaction_set}
0. Dheebi
11. Dhuur
00. Bai"
middle_transaction_set,"CON %{middle_transaction_set}
11. Next
22. Previous
00. Exit","CON %{middle_transaction_set}
11. Mbele
22. Rudi
00. Ondoka","CON %{middle_transaction_set}
11. Mbee
22. Itina
00. Uma","CON %{middle_transaction_set}
1. Mbere
2. Thutha
00. Uma","CON %{middle_transaction_set}
11. Mbere
22. Uya nyuma
00. Ombola","CON %{middle_transaction_set}
11. Nyime
22. Mokalo
00. Wuok","CON %{middle_transaction_set}
11. Dhuur
22. Waan dhabran
00. Bai"
last_transaction_set,"CON %{last_transaction_set}
22. Previous
00. Exit","CON %{last_transaction_set}
22. Rudi
00. Ondoka","CON %{last_transaction_set}
22. Itina
00. Uma","CON %{last_transaction_set}
22. Thutha
00. Uma","CON %{last_transaction_set}
22. Uya Nyuma
00.Ombola","CON %{last_transaction_set}
22. Mokalo
00. Wuok","CON %{last_transaction_set}
22. Waan dharban
00. Bai"
exit,END Thank you for using the service.,END Asante kwa kutumia huduma,END Ni muvea kwa kutumia huduma ii,END  Thegio ni kuhuthira mutabo,END. Namvera kwa mahumizi ga ii huduma.,END Erokamano kuom tiyo gi huduma ni,END Galatom.
exit_invalid_request,END Invalid request.,END Chaguo si sahihi,END Usakuo waku uyaile.,END shaguro riaku ti riega,END. Tsagulo karisawa sawa,END Yiero okni kare,END Ka at chaquad suninit
exit_invalid_menu_option,"CON Invalid menu option. For help,call %{support_phone}.
00. Back
99. Exit","CON Chaguo lako sio sahihi. Kwa usaidizi piga simu %{support_phone}
00. Rudi
99. Ondoka","CON Usakuo waku uyaile. Kwa utethyo kuna %{support_phone}
00. Itina
99. Uma","CON Shaguro riaku ti riega.Kwa uteithio hura %{support_phone}
00. Thutha
99. Uma","CON Tsaguloro karisawa sawa. Kuavizwa piga %{support_phone}
00. Uya Nyuma
99. Ombola","CON Yiero ni oknikare. Kuom kony go simu e %{support_phone}
00. Chien
99. Wuok","CON Ka at chaguad suninit.qarqarsa simu dai%{support_phone}
00. Dheebi
99. Bai"
exit_invalid_input,"CON Invalid input. Nothing selected
00. Back
99. Exit","CON Chaguo lako halipatikani. Hakuna kilichochaguliwa.
00. Rudi
99. Ondoka","CON Usakuo waku wiikwonekana.Vaii kindu kisakue.
00. Itina
99. Uma","CON Shaguro riaku ritironekana. Hatiri kindu washaghura.
00. Thutha
99. Uma","CON Tsaguloro karipatikana. Kakuna Kutsagurire chochosi.
00. Uya nyuma
99. Ombola","CON Yiero ni okyudre. Onge gima iyiero.
00. Chien
99. Wuok","CON Ka at chaguad injirt. oo
00. dheebi
99. Bai"
exit_pin_blocked,"END Your PIN has been blocked. For help, please call %{support_phone}.",END PIN yako imefungwa. Kwa usaidizi tafadhali piga simu %{support_phone}.,END PIN yaku niyavingwa. Kutethwa kuna simu %{support_phone}.,END PIN yaku niyahingwo. Kwa uteithio hura thimu %{support_phone}.,END. Piniyo ifungwa. Kwa kuavizwa unaangwa upige simu %{support_phone}.,END PIN ni olor. Kuom kony go simu e %{support_phone}.,END Pin kake yahidat. Qarqarsa simu dai %{support_phone}.
exit_invalid_pin,"END The PIN you have entered is invalid. PIN must consist of 4 digits. For help, call %{support_phone}.",END PIN uliyobonyeza sio sahihi. PIN lazima iwe na nambari nne. Kwa usaidizi piga simu %{support_phone}.,END PIN ila wekia iyaile. Ni lasima PIN ithiwe na namba inya. Kutethwa kuna %{support_phone}.,END  PIN  iria wekera tii njega. PIN nomohaka ikorwo na namba inya. Kwa uteithio hura thimu %{support_phone}.,"END Namba fitse urohofya seyo, kaisawa. Namba fitswe inamalwa ikale na namba nee. Kwa kuvizwa, piga simu%{support_phone}.",END. PIN miketo oknikare. Nyaka obed gi nembni ang'wen. Kuom kony go simu e %{support_phone}.,END PIN ka at keket suninit. PIN Pin namba afuuri tatatu. Qarqarsa simu dai %{support_phone}.
exit_invalid_new_pin,"END The PIN you have entered is invalid. PIN must be different from your current PIN. For help, call %{support_phone}.",END PIN uliyobonyeza sio sahihi. PIN lazima iwe tofauti na pin yako ya sasa. Kwa usaidizi piga simu %{support_phone}.,END PIN ila wekia iyaile. PIN ni lasima ithiwe tofauti na pin yaku ya oyu. Kutethwa kuna %{support_phone}.,END  PIN iria wekera ti njega. PIN nomohaka ikorwo na namba ndiganu na ya riu . Kwa uteithio hora thimu %{support_phone}.,END Pini uriyo hopya kai karakara. Piniyo inahenzekana ikale itofauti na uhumirayo vivi. Kwa maavizo piga simu %{support_phone}.,END PIN miketo oknikare. Nyaka obed mopogore gi nambani mopondo masani. Kuom kony gochi e %{support_phone}.,END PIN ka at keket suninit.Pin kake walinfakaatin.Qarqars simu dai %{support_phone}.
exit_pin_mismatch,"END The new PIN does not match the one you entered. Please try again. For help, call %{support_phone}.",END PIN mpya na udhibitisho wa pin mpya hazilingani. Tafadhali jaribu tena. Kwa usaidizi piga simu %{support_phone}.,END PIN yumbya na kwikiithya kwayo syivwanene. Tata ingi. Kutethwa kuna %{support_phone}.,END PIN njeru na pin ya guetekeria shitira hianana . Geria ringi. Kwa uteithio hora thimu %{support_phone}.,END Pini uzdoinjiza kaikara kara na uriyohopya laphiri. Unavoywa ujeze kaheri. Kwa kuavizwa piga simu %{support_phone}.,GIKO. PIN miketo opogore gi manikuongo keto. Kiyie to ket kendo. Kuom kony gochi e %{support_phone}.,END Pin hareti ka at kekeet walinfakan. it dheebi amaale.Qarqars simu dai%{support_phone}.
exit_invalid_recipient,"CON Recipient's phone number is not registered or is invalid:
00. Retry
99. Exit","CON Mpokeaji wa nambari hapatikani au sio sahihi.
00. Jaribu tena
99. Ondoka","CON Mukwati wa namba timwandikithye kana namba iyaile
00. Tata ingi
99. Uma","CON Namba ya mwamukeri ndiandekithetio kana ti njega 
00. Geria ringi
99. Uma","CON Muphokezi wa namba kasajilirwe ama nambaye kai karakara
00. Jeza Kaheri
99. Ombola","CON Jayuto mar nambani okyudre kata oknikare.
00. Tem kendo
99. Wuok","CON Nam atin ergu jiraa injirt.
00.Jarib amale
99. Ondoka"
exit_successful_transaction,"CON Your request has been sent. %{recipient_information} will receive %{transaction_amount} %{token_symbol} from %{sender_information}.
00. Back
99. Exit","CON Ombi lako limetumwa. %{recipient_information} atapokea %{transaction_amount} %{token_symbol} kutoka kwa %{sender_information}
00. Rudi
99. Ondoka","CON Woni niwatumwa. %{recipient_information} nukukwata %{transaction_amount} %{token_symbol} kuma kwa %{sender_information}
00. Itina
99. Uma","CON Mahoya maku nimatomwo. %{recipient_information} akuamukira%{transaction_amount} %{token_symbol} kuma kwa %{sender_information}
00. Thutha
99. Uma","CON Mavoyogo gahumwa. %{recipient_information} undaphokera %{transaction_amount} %{token_symbol} kuombola kwa %{sender_information}.
00. Uya Nyuma
99. Ombola","CON Kwayo ni oseor. %{recipient_information} oboyudo %{transaction_amount} %{token_symbol} kowuok kuom %{sender_information}
00. Dog chien
99. Wuogi","CON Qarqar kake yaergad. %{recipient_information} inargat %{transaction_amount} %{token_symbol} kutoka kwa %{sender_information}
00. Dheebi
99. Bai"
exit_insufficient_balance,"CON Payment of %{amount} %{token_symbol} to %{recipient_information} has failed due to insufficient balance
Balance: %{token_balance}
00. Back
99. Exit","CON Malipo ya %{amount} %{token_symbol} kwa %{recipient_information} halijakamilika kwa sababu salio lako haitoshi
Salio: %{token_balance}
00. Rudi
99. Ondoka","CON Ndivi ya %{amount} %{token_symbol} kwa %{recipient_information} iitonyeka, utyalyo waku ni munini.
Utyalyo: %{token_balance}
00. Itina
99. Uma","CON Marehi ma %{amount} %{token_symbol} kwa %{recipient_information} nimarega tondu matigari maku ni manini
Salio: %{token_balance}
00. Thutha
99. Uma","CON Maripho ga %{amount} %{token_symbol} kwa %{recipient_information}  Kagadzangwe kukamirika Kwaukala sazoro Karitosha.
Sazo: %{token_balance}
00. Uya nyuma
99. Ombola","CON Chudo mar %{amount} %{token_symbol} ne %{recipient_information} okotieki nikech dong ni okrom
Akaont ni gi dong mar: %{token_balance}
00. Chien
99. Wuok","CON Malipo ta%{amount} %{token_symbol} kwa %{recipient_information} Inkamilikee balansi ingau
Akaunti balansi akan: %{token_balance}
00. Dheebi
99. Bai"
exit_successful_token_selection,"CON Success! %{token_symbol} is your active Sarafu.
00. Back
99. Exit","CON Chaguo lako limekamilika, %{token_symbol} ni sarafu itakayotumika
00. Rudi
99. Ondoka","CON Woni waku niwetikilwa! %{token_symbol} ii niyo Sarafu yaku ya kutumia.
00. Itina
99. Uma","CON Niwahota ! %{token_symbol} Sarafu ciaku ni
00. Thutha
99. Uma","CON uweza %{token_symbol} ndo sazoro rihumikanaro.
00. Uya nyuma
99. Ombola","CON Kwayo mari odhi kare! %{token_symbol} e Sarafu ni modong
00. Chien
99. Wuok","CON yadandeeth!%{token_symbol}Sarafu kake.
00. Dheebi
9.Bai"
invalid_service_code,Please dial %{valid_service_code} to access Sarafu Network,Bonyeza %{valid_service_code} kutumia mtandao wa Sarafu,Vinyia %{valid_service_code} kutumia mutandao wa Sarafu,Hihinya%{valid_service_code} kuhudhira mutabo wa Sarafu,Hofya %{valid_service_code} Kuhumira Mutandao wa sarafu,Dii %{valid_service_code} mondo iti gi Sarafu,Bonyeza %{valid_service_code} kutumia mtandao wa Sarafu
help,"CON For assistance call %{support_phone}
00. Back
99. Exit","CON Kwa usaidizi piga simu %{support_phone}
00. Rudi
99. Ondoka","CON Kwa utethyo kuna simu %{support_phone}
00. Itina
99. Uma","CON Kwa uteithio hora thimu %{support_phone}
00. Thutha
99. Uma","CON Kwa Kuavizwa piga simu  %{support_phone}
00. Uya nyuma
99. Ombola","CON Kuom kony go simu e %{support_phone}
00. Chien
99. Wuok","CON Qarqars simu dai%{support_phone}
00. Dheebi
99. Bai"
complete,"CON Your request has been sent. You will receive an SMS shortly.
00. Back
99. Exit","CON Ombi lako limetumwa. Utapokea uthibitishaji wa SMS kwa muda mfupi.
00. Rudi
99. Ondoka","CON Woni waku niwatumwa. Nukwata SMS ivinda ite yasa.
00. Itina
99. Uma","CON Mahoya maku nimatomwo. Niukuamukira SMS  ihinda ikuhi .
00. Thutha
99. Uma","CON Vyoyoro rihumwa. Undaphokera Uthibitishaji wa SMS kwa muda mufuhi.
00. Uya nyuma
99. Ombola","CON Kwayo ni oseor. Iboyudo mesej mar ote ni bang' saa matin.
00. Chien
99. Wuok","CON Qarqars kake yaergad. Utapokea uthibitishaji wa SMS kwa muda mfupi.
00. Dheebi
99. Bai"
account_creation_prompt,END Your account is being created. You will receive an SMS when your account is ready.,END Akaunti yako ya Sarafu inatayarishwa. Utapokea ujumbe wa SMS akaunti yako ikiwa tayari.,END Kinandu chaku cha Sarafu chendeye usovwa. Nukwata SMS kinandu chaku chasovwa.,END Akaunti yaku ya Sarafu niiraharirio.Niugutumirwo SMS akauti yaku ya rikio kuharirio,END Akauntiyo ya sarafu idzikoni. Undaphokera  ujumbe wa SMS ichikala tayari.,END Akaont ni mar Sarafu iloso. Iboyudo mesej ka akaont ni otieki.,END Akaunt kake ta Sarafu midasaan jiraa.Meseji siergan ojaa tayar taat
initial_middle_language_set,"CON Choose language:
%{middle_language_set}
11. Next
22. Previous
00. Exit","CON Chagua lugha:
%{middle_language_set}
11. Mbele
22. Rudi
00. Ondoka","CON Sakua luka:
%{middle_language_set}
11. Mbee
22. Itina
00. Uma","CON Cagura ruthiomi:
%{middle_language_set}
11. Ikinya ringi
22. Thutha
00. Uma","CON Tsagula Luga:
%{middle_language_set}
11. Mbere
22. Uyira ya nyuma
00. Ombola","CON Yier dhok:
%{middle_language_set}
11. Nyime
22. Mokalo
00. Wuok","CON afaan chaguad
.%{middle_language_set}
11. Dhuur
22.Waan dhabran
00.Bai"
initial_last_language_set,"CON Choose language:
%{last_language_set}
22. Previous
00. Exit","CON Choose language:
%{last_language_set}
22. Rudi
00. Ondoka","CON Sakua luka:
%{last_language_set}
22. Itina 
00. Uma","CON : Cagura ruthiomi
%{last_language_set}
22. Thutha
00. Uma","CON Tsagula luga:
%{last_language_set}
22. Uyira ya nyuma
00. Ombola","CON Yier dhok:
%{last_language_set}
22. Mokalo
00. Wuok","CON Afaan chaguad.
%last_language_set
22.Dheebi
00.Bai"
middle_language_set,"CON Choose language:
%{middle_language_set}
11. Next
22. Previous
00. Exit","CON Chagua lugha:
%{middle_language_set}
11. Mbele
22. Rudi
00. Ondoka","CON Sakua luka:
%{middle_language_set}
11. Mbee
22. Itina
00. Uma","CON : Cagura ruthiomi
%{middle_language_set}
11. Ikinya ringi
22. Thutha
00. Uma","CON Tsagula luga:
%{middle_language_set}
11. Mbere
22. Uyira ya nyuma
00. Ombola","CON Yier dhok:
%{middle_language_set}
11. Nyime
22. Mokalo
00. Wuok","CON Afaan chaguad: %{middle_language_set}
11.Dhuur
22.Dheebi
00.Bai"
last_language_set,"CON Choose language:
%{last_language_set}
22. Previous
00. Exit","CON Choose language:
%{last_language_set}
22. Rudi
00. Ondoka","CON Sakua luka:
%{last_language_set}
22. Itina
00. Uma","CON : Cagura ruthiomi
%{last_language_set}
22. Thutha
00. Uma","CON Tsagula luga:
%{last_language_set}
22. Uyira ya nyuma
00. Ombola","CON Yier dhok:
%{last_language_set}
22. Mokalo
00. Wuok","CON Afaan chaguad:
%{last_language_set}
22.Waan dhabran
00.Bai"